[description:"backup all computers" entry:"1508592812" modified:"1508593071" status:"pending" tags:"computer" uuid:"b5d0f99e-4103-4751-bb85-8d19ae14c341"]
[description:"fish path fix" entry:"1508795241" modified:"1508863077" status:"pending" uuid:"af78b7bd-7395-4928-9440-c9d58bd6dc8d"]
[description:"path discord rtl script" entry:"1508936738" modified:"1510187837" status:"pending" uuid:"db57a5b8-b8d8-4429-a441-b5f84b1b7e86"]
[description:"disable spyware oneplus" entry:"1510187527" modified:"1510187527" status:"pending" uuid:"e39e1535-7dae-4c3a-b60d-64748cd462f8"]
[description:"disabble spyware windows" entry:"1510187537" modified:"1510187537" status:"pending" uuid:"c1a14456-4cb3-4a29-9f76-ba13d77b06e5"]
[description:"fix pull request" entry:"1513180231" modified:"1513180231" status:"pending" uuid:"2f652cf9-cdc3-4171-b0b1-854021205fef"]
[description:"install linux on main pc" entry:"1513180369" modified:"1513180369" status:"pending" uuid:"0e3740a3-f59a-4904-8105-85836eccfa7c"]
[description:"rewrite the room" entry:"1514320228" modified:"1514320228" status:"pending" uuid:"abb23155-d5c3-4129-a799-39b40dc48bca"]
[description:"convert to 2FA authy and passwords to lesspass" entry:"1515253836" modified:"1515253836" status:"pending" uuid:"0ff1f167-f77e-4e25-91b2-28a26fdd4595"]
